NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Urban (>100k Einw.);Land;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Saft;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Kaffee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Vegane Milch;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Cola;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Eistee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Tee;1. Welche der folgenden Getränke trinkst Du zumindest gelegentlich?:Nichts davon;2. Wie häufig trinkst Du Saft?;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Apfel;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Karotte;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Mango;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Pfirsich;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsche;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Kirsch-Banane;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Schwarze Johannisbeere;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Orange;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Passionsfrucht;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Rhabarber;3. Welche der folgenden Saftgeschmacksrichtungen würdest du wahrscheinlich oder sehr wahrscheinlich kaufen?:Keine davon
38;m;45;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Ein Mal pro Woche;1;0;1;0;1;1;0;1;0;0;0
39;f;20;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;0;1;0;1;1;1;0;Ein Mal pro Woche;1;0;0;1;0;1;0;0;0;0;0
40;f;33;6;Sachsen-Anhalt;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;0;1;1;0;Ein Mal am Tag;0;0;1;1;0;0;0;0;1;0;0
41;f;52;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;1;0;Ein Mal am Tag;0;0;0;0;1;0;0;0;0;0;0
42;m;53;1;Schleswig-Holstein;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;0;0;1;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
43;f;46;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Mehrmals am Tag;0;1;1;1;1;1;1;1;1;0;0
44;m;23;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;0;1;0;1;1;0;0;Ein Mal am Tag;0;0;1;1;0;0;1;1;0;0;0
45;f;31;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;1;1;0;Ein Mal pro Woche;1;1;1;1;1;1;1;1;1;1;0
46;m;30;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;1;1;1;1;0;Seltener;-;-;-;-;-;-;-;-;-;-;-
47;m;19;1;Hamburg;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Hauptschulabschluss;1;DEU;1;0;0;0;0;0;1;0;Alle 2-3 Tage;0;0;0;1;1;0;0;0;0;1;0
48;f;36;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;1;0;Alle 2-3 Wochen;0;0;1;1;0;1;0;1;1;0;0
49;m;45;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;1;1;1;0;1;0;Mehrmals am Tag;1;0;1;1;0;0;1;1;0;1;0
50;f;62;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;1;DEU;1;1;1;1;1;1;1;0;Ein Mal pro Woche;1;1;1;1;1;0;0;1;1;1;0
51;m;38;3b;Baden-Wuerttemberg;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;0;0;0;0;1;1;0;0;-;-;-;-;-;-;-;-;-;-;-;-
52;m;65;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;0;1;1;0;1;1;1;0;-;-;-;-;-;-;-;-;-;-;-;-
53;m;52;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;0;1;0;Ein Mal pro Woche;0;0;0;1;0;0;0;1;1;0;0
54;f;47;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;1;1;1;1;0;1;0;0;0
55;m;25;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;0;0;0;0;1;0;Alle 2-3 Tage;1;1;1;1;1;1;1;1;1;0;0
56;f;40;3a;Rheinland-Pfalz;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;1;DEU;0;0;0;1;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
57;f;45;1;Schleswig-Holstein;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;0;0;1;1;1;1;0;1;0
58;f;27;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;0;1;1;1;1;1;0;Ein Mal pro Woche;1;0;1;1;1;0;1;1;1;1;0
59;m;58;7;Sachsen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;0;1;1;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
60;f;24;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;0;0;1;0;0;1;0;Alle 2-3 Wochen;1;0;1;1;1;1;1;1;0;1;0
61;m;32;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;1;0;1;0;0;0;0;0;0;0
62;f;41;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Universitärer Abschluss;Hauptschulabschluss;0;DEU;0;0;1;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
63;f;18;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;0;DEU;1;0;1;0;1;1;1;0;Ein Mal pro Woche;1;0;0;1;0;0;0;1;1;0;0
64;m;36;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;0;DEU;0;0;0;0;1;0;1;0;-;-;-;-;-;-;-;-;-;-;-;-
65;m;29;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;0;DEU;0;0;0;0;0;0;0;1;-;-;-;-;-;-;-;-;-;-;-;-
66;m;21;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;1;1;1;0;1;1;1;0;Ein Mal am Tag;1;0;1;1;1;1;1;1;0;0;0
67;m;41;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Ohne Abschluss;0;DEU;0;0;1;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
68;m;61;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Hauptschulabschluss;0;DEU;1;1;0;0;1;0;1;0;Ein Mal pro Woche;0;0;0;1;0;1;1;0;0;1;0
69;m;35;6;Mecklenburg-Vorpommern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;0;1;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
70;m;46;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;0;DEU;1;1;1;0;1;0;1;0;Ein Mal am Tag;1;0;0;1;0;0;0;1;0;0;0
71;f;39;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Mehrmals am Tag;1;1;1;1;1;1;1;1;1;1;0
72;m;26;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;1;1;1;1;1;1;0;Ein Mal am Tag;1;0;0;0;1;0;0;1;0;0;0
73;m;58;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Abitur / Fachabitur;0;DEU;0;1;1;0;1;1;1;0;-;-;-;-;-;-;-;-;-;-;-;-
74;f;35;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;0;DEU;0;1;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-
75;f;47;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;0;DEU;0;0;0;0;1;1;1;0;-;-;-;-;-;-;-;-;-;-;-;-
76;f;28;7;Sachsen;Sonstige;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;0;DEU;1;0;1;0;0;1;0;0;Ein Mal pro Woche;0;0;0;0;0;0;0;1;0;0;0
77;f;36;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;1;DEU;1;1;0;1;1;1;1;0;Ein Mal am Tag;1;1;0;0;1;0;1;1;1;1;0
